"category_type","category_value","measure","category_id"
"language","Іврит","copy_count",1
"language","Іврит","title_count",2
"language","Іспанська","copy_count",3
"language","Іспанська","title_count",4
"language","Італійська","copy_count",5
"language","Італійська","title_count",6
"language","Азербайджанська","copy_count",7
"language","Азербайджанська","title_count",8
"language","Англійська","copy_count",9
"language","Англійська","title_count",10
"language","Арабська","copy_count",11
"language","Арабська","title_count",12
"language","Болгарська","copy_count",13
"language","Болгарська","title_count",14
"language","Білоруська","copy_count",15
"language","Білоруська","title_count",16
"language","Вʼєтнамська","copy_count",17
"language","Вʼєтнамська","title_count",18
"language","Гагаузька","copy_count",19
"language","Гагаузька","title_count",20
"language","Грецька","copy_count",21
"language","Грецька","title_count",22
"language","Давньогрецька","copy_count",23
"language","Давньогрецька","title_count",24
"language","Естонська","copy_count",25
"language","Естонська","title_count",26
"language","Китайська","copy_count",27
"language","Китайська","title_count",28
"language","Кримськотатарська","copy_count",29
"language","Кримськотатарська","title_count",30
"language","Кількома мовами народів світу","copy_count",31
"language","Кількома мовами народів світу","title_count",32
"language","Латинська","copy_count",33
"language","Латинська","title_count",34
"language","Литовська","copy_count",35
"language","Литовська","title_count",36
"language","Молдавська","copy_count",37
"language","Молдавська","title_count",38
"language","Новогрецька","copy_count",39
"language","Новогрецька","title_count",40
"language","Німецька","copy_count",41
"language","Німецька","title_count",42
"language","Польська","copy_count",43
"language","Польська","title_count",44
"language","Португальська","copy_count",45
"language","Португальська","title_count",46
"language","Ромська","copy_count",47
"language","Ромська","title_count",48
"language","Російська","copy_count",49
"language","Російська","title_count",50
"language","Румунська","copy_count",51
"language","Румунська","title_count",52
"language","Русинська","copy_count",53
"language","Русинська","title_count",54
"language","Сербська","copy_count",55
"language","Сербська","title_count",56
"language","Словацька","copy_count",57
"language","Словацька","title_count",58
"language","Старослов'янська (церковнослов'янська)","copy_count",59
"language","Старослов'янська (церковнослов'янська)","title_count",60
"language","Турецька","copy_count",61
"language","Турецька","title_count",62
"language","Угорська","copy_count",63
"language","Угорська","title_count",64
"language","Узбецька","copy_count",65
"language","Узбецька","title_count",66
"language","Українська","copy_count",67
"language","Українська","title_count",68
"language","Французька","copy_count",69
"language","Французька","title_count",70
"language","Чеська","copy_count",71
"language","Чеська","title_count",72
"language","Японська","copy_count",73
"language","Японська","title_count",74
"purpose","Інформаційні видання","copy_count",1
"purpose","Інформаційні видання","title_count",2
"purpose","Бібліографічні видання","copy_count",3
"purpose","Бібліографічні видання","title_count",4
"purpose","Видання для дітей та юнацтва","copy_count",5
"purpose","Видання для дітей та юнацтва","title_count",6
"purpose","Видання для організації дозвілля","copy_count",7
"purpose","Видання для організації дозвілля","title_count",8
"purpose","Громадсько-політичні видання","copy_count",9
"purpose","Громадсько-політичні видання","title_count",10
"purpose","Довідкові видання","copy_count",11
"purpose","Довідкові видання","title_count",12
"purpose","Література релігійного змісту","copy_count",13
"purpose","Література релігійного змісту","title_count",14
"purpose","Літературно-художні видання для дорослих","copy_count",15
"purpose","Літературно-художні видання для дорослих","title_count",16
"purpose","Навчальні та методичні видання","copy_count",17
"purpose","Навчальні та методичні видання","title_count",18
"purpose","Науково-популярні видання для дорослих","copy_count",19
