"oblast_code","oblast_name_en","region_en","oblast_id","is_capital_region"
"UA71000000000010357","Cherkassy","Center",1,FALSE
"UA74000000000025378","Chernigiv","North",2,FALSE
"UA73000000000044923","Cherniveska","West",3,FALSE
"UA14000000000091971","Donetks","East",4,FALSE
"UA12000000000090473","Driproptrovska","East",5,FALSE
"UA26000000000069363","Ivano-Frankivsk","West",6,FALSE
"UA63000000000041885","Kharkiv","East",7,FALSE
"UA65000000000030969","Kherson","South",8,FALSE
"UA68000000000099709","Khmelnitsk","Center",9,FALSE
"UA35000000000016081","Kirovograd","Center",10,FALSE
"UA32000000000030281","Kyiv-oblast","North",11,FALSE
"UA44000000000018893","Luhansk","East",12,FALSE
"UA46000000000026241","Lviv","West",13,FALSE
"UA48000000000039575","Mykolayiv","South",14,FALSE
"UA51000000000030770","Odesa","South",15,FALSE
"UA53000000000028050","Poltava","Center",16,FALSE
"UA56000000000066151","Rivenska","West",17,FALSE
"UA59000000000057109","Sumska","North",18,FALSE
"UA61000000000060328","Ternopilska","West",19,FALSE
"UA05000000000010236","Vinnytsia","Center",20,FALSE
"UA07000000000024379","Vonyn","West",21,FALSE
"UA21000000000011690","Zakarpatska","West",22,FALSE
"UA23000000000064947","Zaporizka","East",23,FALSE
"UA18000000000041385","Zhytomir","North",24,FALSE
