"year","year_id","decade","period"
2005,1,"2000s","early_2000s"
2006,2,"2000s","early_2000s"
2007,3,"2000s","early_2000s"
2008,4,"2000s","early_2000s"
2009,5,"2000s","early_2000s"
2010,6,"2010s","early_2000s"
2011,7,"2010s","early_2010s"
2012,8,"2010s","early_2010s"
2013,9,"2010s","early_2010s"
2014,10,"2010s","early_2010s"
2015,11,"2010s","early_2010s"
2016,12,"2010s","late_2010s"
2017,13,"2010s","late_2010s"
2018,14,"2010s","late_2010s"
2019,15,"2010s","late_2010s"
2020,16,"2020s","late_2010s"
2021,17,"2020s","2020s"
2022,18,"2020s","2020s"
2023,19,"2020s","2020s"
2024,20,"2020s","2020s"
