"year","category_type","category_value","measure_type","value"
2023,"territory","Івано-Франківська","bookstore_count",19
2023,"territory","Волинська","bookstore_count",17
2023,"territory","Вінницька","bookstore_count",17
2023,"territory","Дніпропетровська","bookstore_count",21
2023,"territory","Житомирська","bookstore_count",10
2023,"territory","Закарпатська","bookstore_count",14
2023,"territory","Запорізька","bookstore_count",4
2023,"territory","Київ","bookstore_count",99
2023,"territory","Київська","bookstore_count",18
2023,"territory","Кіровоградська","bookstore_count",4
2023,"territory","Львівська","bookstore_count",50
2023,"territory","Миколаївська","bookstore_count",2
2023,"territory","Одеська","bookstore_count",17
2023,"territory","Полтавська","bookstore_count",15
2023,"territory","Рівненська","bookstore_count",18
2023,"territory","Сумська","bookstore_count",13
2023,"territory","Тернопільська","bookstore_count",23
2023,"territory","Харківська","bookstore_count",17
2023,"territory","Херсонська","bookstore_count",2
2023,"territory","Хмельницька","bookstore_count",15
2023,"territory","Черкаська","bookstore_count",12
2023,"territory","Чернівецька","bookstore_count",8
2023,"territory","Чернігвська","bookstore_count",6
