"year","category_type","category_value","measure","value"
2005,"language","Іврит","copy_count",0
2005,"language","Іврит","title_count",0
2005,"language","Іспанська","copy_count",0
2005,"language","Іспанська","title_count",0
2005,"language","Італійська","copy_count",0
2005,"language","Італійська","title_count",0
2005,"language","Азербайджанська","copy_count",0
2005,"language","Азербайджанська","title_count",0
2005,"language","Англійська","copy_count",0
2005,"language","Англійська","title_count",0
2005,"language","Арабська","copy_count",0
2005,"language","Арабська","title_count",0
2005,"language","Болгарська","copy_count",0
2005,"language","Болгарська","title_count",0
2005,"language","Білоруська","copy_count",0
2005,"language","Білоруська","title_count",0
2005,"language","Вʼєтнамська","copy_count",0
2005,"language","Вʼєтнамська","title_count",0
2005,"language","Гагаузька","copy_count",0
2005,"language","Гагаузька","title_count",0
2005,"language","Грецька","copy_count",0
2005,"language","Грецька","title_count",0
2005,"language","Давньогрецька","copy_count",0
2005,"language","Давньогрецька","title_count",0
2005,"language","Естонська","copy_count",0
2005,"language","Естонська","title_count",0
2005,"language","Китайська","copy_count",0
2005,"language","Китайська","title_count",0
2005,"language","Кримськотатарська","copy_count",0
2005,"language","Кримськотатарська","title_count",0
2005,"language","Кількома мовами народів світу","copy_count",0
2005,"language","Кількома мовами народів світу","title_count",0
2005,"language","Латинська","copy_count",0
2005,"language","Латинська","title_count",0
2005,"language","Литовська","copy_count",0
2005,"language","Литовська","title_count",0
2005,"language","Молдавська","copy_count",0
2005,"language","Молдавська","title_count",0
2005,"language","Новогрецька","copy_count",0
2005,"language","Новогрецька","title_count",0
2005,"language","Німецька","copy_count",0
2005,"language","Німецька","title_count",0
2005,"language","Польська","copy_count",0
2005,"language","Польська","title_count",0
2005,"language","Португальська","copy_count",0
2005,"language","Португальська","title_count",0
2005,"language","Ромська","copy_count",0
2005,"language","Ромська","title_count",0
2005,"language","Російська","copy_count",16612
2005,"language","Російська","title_count",3982
2005,"language","Румунська","copy_count",0
2005,"language","Румунська","title_count",0
2005,"language","Русинська","copy_count",0
2005,"language","Русинська","title_count",0
2005,"language","Сербська","copy_count",0
2005,"language","Сербська","title_count",0
2005,"language","Словацька","copy_count",0
2005,"language","Словацька","title_count",0
2005,"language","Старослов'янська (церковнослов'янська)","copy_count",0
2005,"language","Старослов'янська (церковнослов'янська)","title_count",0
2005,"language","Турецька","copy_count",0
2005,"language","Турецька","title_count",0
2005,"language","Угорська","copy_count",0
2005,"language","Угорська","title_count",0
2005,"language","Узбецька","copy_count",0
2005,"language","Узбецька","title_count",0
2005,"language","Українська","copy_count",33212.1
2005,"language","Українська","title_count",10258
2005,"language","Французька","copy_count",0
2005,"language","Французька","title_count",0
2005,"language","Чеська","copy_count",0
2005,"language","Чеська","title_count",0
2005,"language","Японська","copy_count",0
2005,"language","Японська","title_count",0
2005,"purpose","Інформаційні видання","copy_count",50.2
2005,"purpose","Інформаційні видання","title_count",42
2005,"purpose","Бібліографічні видання","copy_count",45.4
2005,"purpose","Бібліографічні видання","title_count",137
2005,"purpose","Видання для дітей та юнацтва","copy_count",4192.5
2005,"purpose","Видання для дітей та юнацтва","title_count",787
2005,"purpose","Видання для організації дозвілля","copy_count",1283.1
2005,"purpose","Видання для організації дозвілля","title_count",123
2005,"purpose","Громадсько-політичні видання","copy_count",2741
2005,"purpose","Громадсько-політичні видання","title_count",77
2005,"purpose","Довідкові видання","copy_count",4820.8
2005,"purpose","Довідкові видання","title_count",920
2005,"purpose","Література релігійного змісту","copy_count",930.9
2005,"purpose","Література релігійного змісту","title_count",311
2005,"purpose","Літературно-художні видання для дорослих","copy_count",5438.6
2005,"purpose","Літературно-художні видання для дорослих","title_count",2273
2005,"purpose","Навчальні та методичні видання","copy_count",26542.8
2005,"purpose","Навчальні та методичні видання","title_count",5684
2005,"purpose","Науково-популярні видання для дорослих","copy_count",3280.4
2005,"purpose","Науково-популярні видання для дорослих","title_count",1046
2005,"purpose","Наукові видання","copy_count",1633.5
