"ukrainian_name","english_name","polygon_name"
"Черкаська","Cherkassy","Черкаська область"
"Чернігівська","Chernigiv","Чернігівська область"
"Чернівецька","Cherniveska","Чернівецька область"
"Автономна Республіка Крим","Crimea","Автономна Республіка Крим"
"Донецька","Donetks","Донецька область"
"Дніпропетровська","Driproptrovska","Дніпропетровська область"
"Івано-Франківська","Ivano-Frankivsk","Івано-Франківська область"
"Харківська","Kharkiv","Харківська область"
"Херсонська","Kherson","Херсонська область"
"Хмельницька","Khmelnitsk","Хмельницька область"
"Кіровоградська","Kirovograd","Кіровоградська область"
"Київська","Kyiv-oblast","Київська область"
"Луганська","Luhansk","Луганська область"
"Львівська","Lviv","Львівська область"
"Миколаївська","Mykolayiv","Миколаївська область"
"Одеська","Odesa","Одеська область"
"Полтавська","Poltava","Полтавська область"
"Рівненська","Rivenska","Рівненська область"
"Сумська","Sumska","Сумська область"
"Тернопільська","Ternopilska","Тернопільська область"
"Вінницька","Vinnytsia","Вінницька область"
"Волинська","Vonyn","Волинська область"
"Закарпатська","Zakarpatska","Закарпатська область"
"Запорізька","Zaporizka","Запорізька область"
"Житомирська","Zhytomir","Житомирська область"
